replay,tower_blue,gold_blue,kill_blue,kill_red,gold_red,tower_red,status
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
False,0,0,0,0,0,0,"[0, 0]"
